Timestamp,Which is your favorite vacation destination
11/05/2022 17:52:52,Dubai
11/05/2022 17:52:57,Malaysia
11/05/2022 17:53:00,Singapore
11/05/2022 17:53:06,London
11/05/2022 17:53:09,Singapore
11/05/2022 17:53:12,Dubai
11/05/2022 17:53:16,Malaysia
11/05/2022 17:53:19,Dubai
11/05/2022 17:53:22,London
11/05/2022 17:53:25,Singapore
11/05/2022 17:53:31,Dubai
11/05/2022 17:53:34,Malaysia
11/05/2022 17:53:37,London
11/05/2022 17:53:41,Dubai
11/05/2022 17:53:43,Dubai
11/05/2022 17:53:47,Malaysia
11/05/2022 17:53:50,Singapore
11/05/2022 17:53:53,London
11/05/2022 17:53:56,Singapore
11/05/2022 17:53:59,Malaysia
11/05/2022 17:54:01,Malaysia
11/05/2022 17:54:05,London
11/05/2022 17:54:07,Dubai
11/05/2022 17:54:10,Singapore
11/05/2022 17:54:13,Malaysia
11/05/2022 17:54:18,London
11/05/2022 17:54:25,Malaysia
11/05/2022 17:54:29,Singapore
11/05/2022 17:54:34,Dubai
11/05/2022 17:54:38,London
11/05/2022 17:54:41,Singapore
